tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
82,1907,Vonteego Cummings,1999,1,1999-00,75,655,265,0.40458015267175573,draft
83,1907,Vonteego Cummings,1999,2,2000-01,66,516,178,0.3449612403100775,draft
84,1907,Vonteego Cummings,1999,3,2001-02,47,187,78,0.41711229946524064,draft
85,1908,Jumaine Jones,1999,1,1999-00,24,58,22,0.3793103448275862,draft
86,1908,Jumaine Jones,1999,2,2000-01,55,274,122,0.44525547445255476,draft
87,1908,Jumaine Jones,1999,3,2001-02,79,639,286,0.4475743348982786,draft
88,1908,Jumaine Jones,1999,4,2002-03,80,708,308,0.4350282485875706,draft
89,1909,Scott Padgett,1999,1,1999-00,37,140,44,0.3142857142857143,draft
90,1909,Scott Padgett,1999,2,2000-01,19,42,18,0.42857142857142855,draft
91,1909,Scott Padgett,1999,3,2001-02,71,395,188,0.4759493670886076,draft
92,1909,Scott Padgett,1999,4,2002-03,82,423,170,0.40189125295508277,draft
93,1910,Leon Smith,1999,3,2001-02,9,26,10,0.38461538461538464,draft
94,1911,John Celestand,1999,1,1999-00,12,45,15,0.3333333333333333,draft
95,1913,Michael Ruffin,1999,1,1999-00,56,138,58,0.42028985507246375,draft
96,1913,Michael Ruffin,1999,2,2000-01,35,90,40,0.4444444444444444,draft
97,1913,Michael Ruffin,1999,3,2001-02,9,26,7,0.2692307692307692,draft
98,1914,Chris Herren,1999,1,1999-00,40,124,45,0.3629032258064516,draft
99,1914,Chris Herren,1999,2,2000-01,21,96,29,0.3020833333333333,draft
100,1915,Evan Eschmeyer,1999,1,1999-00,23,72,38,0.5277777777777778,draft
101,1915,Evan Eschmeyer,1999,2,2000-01,63,200,92,0.46,draft
102,1915,Evan Eschmeyer,1999,3,2001-02,20,50,21,0.42,draft
103,1916,Calvin Booth,1999,1,1999-00,10,46,16,0.34782608695652173,draft
104,1916,Calvin Booth,1999,2,2000-01,51,252,120,0.47619047619047616,draft
105,1916,Calvin Booth,1999,3,2001-02,15,82,35,0.4268292682926829,draft
106,1916,Calvin Booth,1999,4,2002-03,38,119,52,0.4369747899159664,draft
107,1917,Wang Zhi-zhi,1999,3,2001-02,54,248,109,0.43951612903225806,draft
108,1917,Wang Zhi-zhi,1999,4,2002-03,37,162,62,0.38271604938271603,draft
109,1918,Obinna Ekezie,1999,1,1999-00,32,88,41,0.4659090909090909,draft
110,1918,Obinna Ekezie,1999,2,2000-01,25,81,32,0.3950617283950617,draft
111,1918,Obinna Ekezie,1999,3,2001-02,18,39,13,0.3333333333333333,draft
