PLAYER_ID,PLAYER_NAME,ceiling_comp_PLAYER_ID,ceiling_comp_PLAYER_NAME,ceiling_shot_embedding_distance,ceiling_pca_distance,ceiling_macro_role_match,ceiling_comp_supported,ceiling_comp_similarity_score
2401,Nikoloz Tskitishvili,1717,Dirk Nowitzki,15.589527731581649,7.951572337763179,0,1,12.916243343745185
2402,Dajuan Wagner,1718,Paul Pierce,16.95005483872807,9.404144469071689,1,1,14.308986209348337
2403,Nene,1503,Tracy McGrady,70.69934153451321,13.49816220580484,0,1,50.67892876946529
2404,Chris Wilcox,1503,Tracy McGrady,47.19833889702062,4.662329926717243,0,1,32.310735757414434
2405,Amar'e Stoudemire,1503,Tracy McGrady,38.77810540765481,11.930049368063742,0,1,29.38128579379794
2406,Caron Butler,947,Allen Iverson,7.7120270992190525,7.261546091762644,0,1,7.554358746609309
2407,Jared Jeffries,947,Allen Iverson,14.084142052777485,5.59958656883164,0,1,11.114547633396441
2408,Melvin Ely,947,Allen Iverson,14.68750110935054,4.779460665182272,0,1,11.219686953891646
2409,Marcus Haislip,947,Allen Iverson,28.195098456001272,6.36918854400324,0,1,20.55602998680196
2410,Fred Jones,1718,Paul Pierce,9.678018373424457,6.363232969320112,1,1,8.517843481987937
2411,Bostjan Nachbar,1497,Chauncey Billups,11.03087851221146,5.229844934510834,1,1,9.000516760016241
2412,Jiri Welsch,1497,Chauncey Billups,11.644949598032609,4.878929746857068,1,1,9.27684265012117
2413,Juan Dixon,1718,Paul Pierce,12.896341508006271,5.166007008277507,1,1,10.190724433101204
2414,Curtis Borchardt,1503,Tracy McGrady,45.269337803655,7.253271076974821,0,1,31.96371444931694
2415,Ryan Humphrey,1503,Tracy McGrady,32.32761799584646,8.8551553268917,0,1,24.112256061712294
2416,Kareem Rush,1717,Dirk Nowitzki,10.063365902899397,5.090060990279657,1,1,8.322709183482488
2417,Qyntel Woods,947,Allen Iverson,21.909700576588254,5.4014031633629065,0,1,16.131796481959384
2418,Casey Jacobsen,947,Allen Iverson,12.17211822765522,5.485507675582472,1,1,9.831804534429759
2419,Tayshaun Prince,947,Allen Iverson,8.50841897714453,8.157863486955437,0,1,8.385724555578348
2420,Nenad Krstic,1503,Tracy McGrady,18.824927357984198,6.617668654501668,0,1,14.552386811765313
2421,Frank Williams,947,Allen Iverson,17.014899725042156,9.780392156590514,0,1,14.482822076084082
2422,John Salmons,1503,Tracy McGrady,11.699178726035772,5.415552840106673,1,1,9.499909665960587
2423,Chris Jefferies,1717,Dirk Nowitzki,15.617130497289304,8.402298382275985,0,1,13.091939257034642
2424,Dan Dickau,951,Ray Allen,7.425669781070259,6.991717444875461,1,1,7.273786463402081
2425,Robert Archibald,947,Allen Iverson,44.840953583754064,13.654023629627025,0,1,33.925528099809604
2427,Roger Mason Jr.,1717,Dirk Nowitzki,20.958561648319975,8.319452905944859,0,1,16.534873588488683
2428,Vincent Yarbrough,1718,Paul Pierce,19.945160377630433,4.583696486559193,1,1,14.5686480157555
2429,Dan Gadzuric,1503,Tracy McGrady,76.61208668876927,7.375843387967263,0,1,52.37940153348857
2430,Carlos Boozer,1503,Tracy McGrady,21.907028049797997,7.7091069525036175,0,1,16.937755665744966
2435,Mario Kasun,1503,Tracy McGrady,82.69151461319451,8.814772410301458,0,1,56.83465484218195
2436,Flip Murray,951,Ray Allen,13.191318042818425,7.550742476701793,1,1,11.217116594677604
2437,Lonny Baxter,1503,Tracy McGrady,55.966097502933074,7.670011154221909,0,1,39.06246728088417
2440,Matt Barnes,947,Allen Iverson,20.533489138718746,6.104576257366096,0,1,15.483369630245319
2441,Jamal Sampson,1503,Tracy McGrady,36.55458057512349,12.978448102205249,0,1,28.302934209602107
2443,Darius Songaila,947,Allen Iverson,22.40907985160458,3.8679981988093775,1,1,15.91970127312626
2446,Rasual Butler,959,Steve Nash,9.680781892724896,4.408021116119113,1,1,7.835315620912873
2447,Tamar Slay,1717,Dirk Nowitzki,18.294278174423425,7.842649255682864,0,1,14.636208052864228
2451,Corsley Edwards,977,Kobe Bryant,36.72448326603862,7.042114618469828,0,1,26.335654239389545
2544,LeBron James,1713,Vince Carter,12.643963487078599,13.482849490479905,0,1,12.937573588269057
2545,Darko Milicic,1503,Tracy McGrady,20.550571286830593,7.543334512782207,0,1,15.998038415913658
2546,Carmelo Anthony,1503,Tracy McGrady,24.498608715895728,12.913610933502225,0,1,20.443859492058003
2547,Chris Bosh,947,Allen Iverson,8.482236471521526,9.55227694666289,0,1,8.856750637821003
2548,Dwyane Wade,1503,Tracy McGrady,22.047414487527597,13.498161313032266,0,1,19.055175876454232
2549,Chris Kaman,1503,Tracy McGrady,25.823865937697196,6.54658052451688,0,1,19.076816043084087
2550,Kirk Hinrich,1717,Dirk Nowitzki,10.57887982881958,10.060243433738313,0,1,10.397357090541137
2551,T.J. Ford,947,Allen Iverson,7.902681823344079,8.345622278659045,0,1,8.057710982704318
2552,Michael Sweetney,1503,Tracy McGrady,50.80704184822855,6.623684090463197,0,1,35.34286663301067
2553,Jarvis Hayes,1718,Paul Pierce,9.77963639712627,5.379279811668844,1,1,8.239511592216171
2554,Mickael Pietrus,1497,Chauncey Billups,15.591720158317417,3.99050759682902,0,1,11.531295761796478
2555,Nick Collison,1503,Tracy McGrady,54.2448963129166,6.05342631513111,0,1,37.37788181369168
2556,Marcus Banks,977,Kobe Bryant,12.24504620429544,5.200313350583977,1,1,9.779389705496428
2557,Luke Ridnour,959,Steve Nash,12.455661200275392,8.323484771803473,0,1,11.009399450310221
2558,Reece Gaines,1717,Dirk Nowitzki,17.10908863323412,8.790652623604386,0,1,14.197636029863713
2560,Zarko Cabarkapa,1713,Vince Carter,15.718063114943455,5.2101887961640365,0,1,12.040307103370658
2561,David West,947,Allen Iverson,12.04163188706366,7.797058969487394,0,1,10.556031365911966
2562,Sasha Pavlovic,1713,Vince Carter,12.256332781055056,4.4042343972882705,1,1,9.50809834673668
2563,Dahntay Jones,947,Allen Iverson,16.02182924021227,6.017657883161097,1,1,12.520369265244359
2564,Boris Diaw,947,Allen Iverson,24.763510172983,7.555295840605315,0,1,18.74063515665081
2565,Zoran Planinic,947,Allen Iverson,20.21475564507122,5.145278391855151,1,1,14.940438606445596
2566,Travis Outlaw,1717,Dirk Nowitzki,9.410043349167239,5.350365199611081,0,1,7.989155996822584
2567,Brian Cook,1717,Dirk Nowitzki,8.599335500615776,3.846979872170805,1,1,6.936011030660037
2568,Carlos Delfino,947,Allen Iverson,11.797339335343555,5.2633851905943105,1,1,9.51045538468132
2570,Kendrick Perkins,1495,Tim Duncan,20.165138443208225,10.01855000653173,0,1,16.61383249037145
2571,Leandro Barbosa,947,Allen Iverson,14.035393543875037,6.86095455388329,0,1,11.524339897377926
2572,Josh Howard,1503,Tracy McGrady,6.945495152627887,7.019161718880106,0,1,6.971278450816164
2573,Maciej Lampe,1717,Dirk Nowitzki,17.049802252668,9.505034641331546,0,1,14.409133588700243
2574,Jason Kapono,959,Steve Nash,19.466351366835863,4.938842830007909,1,1,14.38172337894608
2575,Luke Walton,947,Allen Iverson,9.708728623970766,6.4832492665439405,1,1,8.579810848871377
2580,Travis Hansen,1713,Vince Carter,20.094275446111155,5.789054143050893,0,1,15.087447990040063
2581,Steve Blake,959,Steve Nash,13.6850916000965,7.3400916208920375,1,1,11.464341607374939
2584,Willie Green,1717,Dirk Nowitzki,8.876114155452976,5.924541605848761,1,1,7.843063763091502
2585,Zaza Pachulia,1503,Tracy McGrady,53.07204987607277,6.508113990958534,0,1,36.77467231628279
2586,Keith Bogans,947,Allen Iverson,10.882995775710798,5.08158488513304,1,1,8.852501964008583
2588,Matt Bonner,959,Steve Nash,12.660912284374687,5.002553358220365,1,1,9.980486660220675
