tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
33,1890,Shawn Marion,1999,2,2000-01,79,1157,557,0.4814174589455488,draft,11.044889,-17.588112,-6.4612637,19.71386,16.488518,-13.17089,8.324893,2.7491071,5.8566723,3.6753397,17.044052,19.63824,4.6334214,-13.790634,-14.092625,-0.45983613,7.22813,20.57638,1.3705696,-18.353481,-14.003086,12.304867,-21.73072,-16.342491
34,1890,Shawn Marion,1999,3,2001-02,81,1393,654,0.4694903086862886,draft,5.5333576,-16.379936,-8.288212,20.29369,12.564577,-9.396421,8.766861,-6.366774,3.4055505,1.0782822,8.930521,21.459515,2.9054177,-9.310909,-9.794941,-2.634457,2.2931786,20.06422,6.57846,-15.838964,-17.050714,8.489676,-18.848728,-12.536792
35,1890,Shawn Marion,1999,4,2002-03,81,1464,662,0.4521857923497268,draft,5.496834,-14.004319,-8.372205,21.915424,15.107389,-8.800885,6.667486,-2.5281382,3.5847878,-0.535433,8.6820755,18.489014,3.9623485,-10.090649,-9.149326,0.8692113,3.7184176,17.873741,2.4710407,-11.609301,-19.599236,7.680507,-15.999796,-9.486773
36,1891,Jason Terry,1999,1,1999-00,79,598,248,0.4147157190635451,draft,5.4014225,-16.687578,-6.409816,17.789867,12.374924,-6.8196645,2.511259,-2.363357,9.87451,0.327511,7.1735806,10.748728,0.54095817,-9.18028,-5.813539,-1.6429853,2.2060351,9.200951,0.0055606365,-8.716142,-15.10894,8.670192,-12.434636,-7.3191195
37,1891,Jason Terry,1999,2,2000-01,82,1367,596,0.4359912216532553,draft,-1.6939251,-5.241986,-13.2859125,15.259544,7.5538764,-7.2854996,10.9579315,-3.4325013,-0.56411123,-2.876535,6.4367914,19.797686,9.660382,8.361616,8.110529,-14.813346,-3.7229052,21.783302,-0.21710753,-16.496656,-11.486298,0.67222655,-17.450094,7.166111
38,1891,Jason Terry,1999,3,2001-02,77,1219,524,0.4298605414273995,draft,6.807418,-14.462946,-5.061931,20.848774,13.594393,-4.715731,7.6253824,-3.0021794,3.169271,-4.368331,7.617964,15.699066,1.8961694,-5.6082344,-8.999318,-2.269156,1.1064817,16.192768,-1.5598111,-11.608685,-18.414385,5.183379,-15.389624,-7.7136607
39,1891,Jason Terry,1999,4,2002-03,81,1140,488,0.4280701754385965,draft,-0.5717399,-5.338878,-10.74175,18.120241,10.256762,-9.42945,8.370764,-4.7027836,6.071239,0.3680411,2.3693342,18.246609,7.681302,-1.645138,4.634736,-8.578317,1.0208644,15.553848,4.6853952,-13.794062,-16.043613,5.838918,-17.404057,1.5332587
40,1892,Trajan Langdon,1999,1,1999-00,6,40,15,0.375,draft,6.062168,-21.708416,3.431615,17.861473,13.684216,0.43642616,4.894606,-18.535677,6.45837,-9.065605,-1.408266,9.29089,-11.172064,-3.0994105,-2.1895227,-6.9583807,-9.213767,10.779021,-1.0865748,-6.6400175,-13.383158,7.0549703,-15.273603,-6.498316
41,1892,Trajan Langdon,1999,2,2000-01,60,313,135,0.4313099041533546,draft,5.8439646,-14.897082,1.6528559,16.058115,9.8365,2.314516,9.290655,-8.293886,8.950714,-4.994007,-0.16279843,11.122164,-3.2424226,0.6572546,-2.501639,-3.1327477,-4.856596,7.2176743,-1.8767116,-6.849789,-16.86884,0.12384075,-11.601261,-5.596697
42,1892,Trajan Langdon,1999,3,2001-02,40,175,70,0.4,draft,6.202487,-14.112819,0.9775643,15.23267,9.509406,-0.39013886,2.3161693,-4.724627,9.937792,-3.263825,1.8777688,12.236275,-1.2366376,0.5432188,-4.118612,-0.7736572,-2.4228902,7.4159474,1.0705097,-4.480687,-16.497646,-1.7726928,-9.903568,-5.370509
43,1894,Corey Maggette,1999,1,1999-00,77,468,224,0.4786324786324786,draft,19.272057,-20.232199,-8.244574,27.300821,25.294073,-22.345566,14.559362,3.1887088,0.89447093,10.755432,27.816517,26.437538,8.000944,-15.792713,-24.011116,5.7016172,9.796452,35.465576,-2.2540064,-26.150066,-10.564299,22.317516,-28.977139,-24.072243
44,1894,Corey Maggette,1999,2,2000-01,68,487,225,0.4620123203285421,draft,14.86713,-17.696053,-13.604008,34.877747,26.96091,-17.726126,14.390169,1.6447222,-2.258129,3.8433716,22.049164,19.706284,9.215877,-16.481968,-22.198254,5.139078,10.941032,33.24588,-7.0544505,-20.424782,-19.47987,25.675856,-22.98371,-14.322106
45,1894,Corey Maggette,1999,3,2001-02,62,530,235,0.4433962264150943,draft,11.792959,-19.540869,-7.199816,31.64001,22.90854,-15.306795,10.718315,-11.766527,-5.1298556,0.91320705,18.25771,22.170948,1.2464558,-9.180596,-14.605633,-8.159472,2.2603168,32.445526,-5.298309,-19.71286,-16.875254,20.794617,-25.192818,-13.69628
46,1894,Corey Maggette,1999,4,2002-03,64,772,343,0.444300518134715,draft,11.262344,-10.131724,-10.638614,31.29218,24.08972,-16.835238,6.0871153,-9.634378,-2.7790773,1.7449992,15.761631,25.289326,7.18112,-15.114109,-16.808104,-0.58249974,6.194813,32.252728,-2.6204643,-14.916544,-24.99319,17.734884,-21.345766,-10.38865
47,1895,William Avery,1999,1,1999-00,49,180,56,0.3111111111111111,draft,7.015218,-10.909628,-1.2408861,17.704342,11.88963,-7.707608,10.261414,-3.809611,-1.3441195,-4.785325,5.58501,13.613106,-0.31288958,-10.969504,-6.916832,2.1422157,1.1025157,16.875963,-0.17327964,-9.4938755,-14.550936,5.1672707,-13.732856,-6.4709125
48,1895,William Avery,1999,2,2000-01,44,142,55,0.3873239436619718,draft,1.2967178,-15.367545,-12.836288,25.565945,17.932829,-20.045277,13.0577755,-4.890437,-6.855964,6.321659,12.750139,27.317722,7.511219,-2.7172112,1.2726989,-16.668629,-1.5352123,30.93023,5.121091,-26.634176,-8.174285,17.085726,-27.699112,-3.576148
49,1895,William Avery,1999,3,2001-02,23,89,26,0.2921348314606741,draft,10.02297,-14.237083,-1.1695571,20.340336,15.093138,-12.29324,5.521508,-2.6246524,0.8553474,1.3072985,14.5750885,15.479523,-3.8481982,-11.36265,-9.625958,-3.0381281,-0.027750015,20.221117,-0.021623135,-12.601286,-12.34372,11.066118,-14.923609,-3.9981015
50,1897,Metta World Peace,1999,1,1999-00,72,758,309,0.4076517150395778,draft,12.241274,-20.133022,-10.232632,30.816498,24.11474,-17.379932,16.231602,-4.051071,-3.5119061,9.094399,17.62322,24.60196,6.797152,-12.694109,-17.361244,1.7457864,5.1050525,29.598665,-1.2791183,-19.705471,-15.474829,19.594528,-22.469986,-19.279026
51,1897,Metta World Peace,1999,2,2000-01,76,814,327,0.4017199017199017,draft,10.241722,-13.914506,-7.523862,27.267641,21.342424,-14.252841,8.525782,-3.8260956,-1.9771144,-0.33164182,16.568995,17.304749,1.405232,-14.276802,-14.559065,-0.9559356,5.072061,25.373413,-1.3980825,-16.514626,-16.620155,19.222317,-19.52062,-11.480356
52,1897,Metta World Peace,1999,3,2001-02,55,636,269,0.4229559748427673,draft,5.6134806,-11.669562,-7.891609,22.624008,13.37934,-7.314568,8.483166,-2.289519,5.5674367,3.8030474,8.42415,19.673386,4.1948934,-2.6892154,-8.288,0.40495068,0.9800399,15.0296,2.3350453,-10.280836,-22.027082,5.11179,-10.832347,-6.923734
53,1897,Metta World Peace,1999,4,2002-03,69,846,362,0.4278959810874704,draft,9.648363,-8.059815,-4.719156,20.541542,12.24775,-6.9259915,6.5011225,-8.692409,7.260494,1.0028644,6.8972397,17.890278,-0.14748311,-5.0373774,-12.01671,1.9924152,2.7755938,20.319338,3.8432863,-10.508461,-20.142006,11.745188,-15.27285,-3.1555204
54,1898,Cal Bowdler,1999,1,1999-00,36,115,49,0.4260869565217391,draft,14.310019,-10.505274,-5.667393,21.633554,18.000551,-18.383507,16.159422,1.1529664,-0.17175436,7.036025,19.635227,26.852346,4.785094,-20.751255,-16.580482,2.4683301,7.07627,27.778244,5.4687943,-23.206146,-14.547868,13.528747,-24.2285,-17.392761
55,1898,Cal Bowdler,1999,2,2000-01,31,114,53,0.4649122807017544,draft,8.308655,-27.046894,-8.512699,29.27444,18.756666,-9.690191,4.640953,-2.7104576,-0.6352514,-2.9352398,20.428995,13.546913,-0.18589616,-11.427029,-16.475239,-1.61432,9.174257,25.691849,3.7275949,-17.298975,-12.812874,18.032127,-19.86908,-13.29637
56,1898,Cal Bowdler,1999,3,2001-02,46,174,61,0.3505747126436782,draft,7.1802816,-9.24117,-5.560172,20.579504,16.266571,-4.989645,8.126316,5.148869,4.2703867,-10.729326,5.5735188,4.5953608,1.8102617,-10.559799,-9.457056,5.77396,6.0056853,13.898317,-0.8600214,-16.101612,-12.325918,13.832378,-14.471661,1.1305507
57,1899,James Posey,1999,1,1999-00,78,536,230,0.4291044776119403,draft,11.77292,-19.92249,-5.0655346,29.503418,24.912853,-11.519094,8.891171,-10.597313,-6.5825415,-3.2121274,13.6849375,23.02203,-0.8859352,-8.800952,-15.855551,-0.986515,-1.4601983,31.004211,-5.229894,-14.068826,-18.926922,12.7045,-22.099718,-13.250311
58,1899,James Posey,1999,2,2000-01,82,588,243,0.413265306122449,draft,15.694189,-16.12703,-7.3752565,29.105213,24.009167,-15.54156,15.845319,3.9635,-0.8010287,3.128464,16.815517,23.433475,8.077982,-9.126656,-17.530258,3.6149938,4.491653,28.673393,-13.657457,-16.794619,-20.558987,14.016125,-23.007576,-13.410404
59,1899,James Posey,1999,3,2001-02,73,733,277,0.3778990450204638,draft,11.435598,-15.207497,-4.3291235,26.759617,19.437326,-11.731706,5.1992455,-6.7318377,0.5962049,-1.2598283,16.447805,14.215485,-0.3001542,-14.223616,-13.922117,-1.4454293,5.408632,22.888256,-2.9805856,-11.558354,-17.232897,17.556757,-17.529343,-12.282021
60,1899,James Posey,1999,4,2002-03,82,749,309,0.4125500667556742,draft,11.943602,-16.987259,-8.729852,29.868187,22.369488,-14.92791,10.307734,-12.655446,-4.6230936,3.6074066,14.851809,25.507957,4.8558197,-7.590438,-15.949112,-2.1011963,0.21789497,32.97768,-0.5533838,-17.927105,-17.449772,16.409672,-21.687244,-13.019999
61,1900,Quincy Lewis,1999,1,1999-00,69,297,111,0.3737373737373737,draft,7.1551456,-8.616995,-5.1537137,20.137533,12.713602,-8.81506,9.23693,-6.6836042,1.9816779,0.19491872,8.530159,17.630558,4.484655,-8.884528,-8.583464,0.7887435,2.9824085,20.167849,2.6873958,-10.731903,-17.888746,9.630116,-14.798407,-9.142525
62,1900,Quincy Lewis,1999,2,2000-01,30,123,50,0.4065040650406504,draft,5.7474055,-10.839987,-11.3073,31.70995,20.66494,-6.661922,3.7108073,-15.050291,-3.5016418,-8.603173,7.3710566,16.65128,6.3381176,-10.261893,-12.306814,-1.339416,2.771553,25.581045,1.9869872,-10.614479,-25.66505,13.558489,-14.373404,-7.2901616
63,1900,Quincy Lewis,1999,3,2001-02,30,143,64,0.4475524475524475,draft,14.345279,-17.5794,-9.795387,27.048061,22.406933,-16.683033,7.7936172,1.2533333,7.721073,10.961561,19.73088,16.08086,8.532737,-11.586986,-15.766384,1.6450069,5.4011607,17.725836,-2.1915295,-16.342882,-13.303897,19.95208,-14.150855,-16.301422
64,1901,Dion Glover,1999,1,1999-00,29,171,66,0.3859649122807017,draft,14.318644,-11.231878,-15.17958,38.071205,28.169712,-16.994635,25.687876,2.3106809,-10.589423,4.2420235,27.272785,24.585003,15.717876,-6.5864367,-20.787285,6.346934,4.5170116,39.079178,-11.187893,-22.237106,-19.87397,21.993685,-18.409729,-19.088017
