PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
1909,Scott Padgett,1999,3,2001-02,71,395,188,0.4759493670886076,1,0
1909,Scott Padgett,1999,4,2002-03,82,423,170,0.40189125295508277,1,0
1910,Leon Smith,1999,3,2001-02,9,26,10,0.38461538461538464,1,0
1911,John Celestand,1999,1,1999-00,12,45,15,0.3333333333333333,1,0
1913,Michael Ruffin,1999,1,1999-00,56,138,58,0.42028985507246375,1,0
1913,Michael Ruffin,1999,2,2000-01,35,90,40,0.4444444444444444,1,0
1913,Michael Ruffin,1999,3,2001-02,9,26,7,0.2692307692307692,1,0
1914,Chris Herren,1999,1,1999-00,40,124,45,0.3629032258064516,1,0
1914,Chris Herren,1999,2,2000-01,21,96,29,0.3020833333333333,1,0
1915,Evan Eschmeyer,1999,1,1999-00,23,72,38,0.5277777777777778,1,0
1915,Evan Eschmeyer,1999,2,2000-01,63,200,92,0.46,1,0
1915,Evan Eschmeyer,1999,3,2001-02,20,50,21,0.42,1,0
1915,Evan Eschmeyer,1999,4,2002-03,11,19,7,0.3684210526315789,0,1
1916,Calvin Booth,1999,1,1999-00,10,46,16,0.34782608695652173,1,0
1916,Calvin Booth,1999,2,2000-01,51,252,120,0.47619047619047616,1,0
1916,Calvin Booth,1999,3,2001-02,15,82,35,0.4268292682926829,1,0
1916,Calvin Booth,1999,4,2002-03,38,119,52,0.4369747899159664,1,0
1917,Wang Zhi-zhi,1999,2,2000-01,4,19,8,0.42105263157894735,0,1
1917,Wang Zhi-zhi,1999,3,2001-02,54,248,109,0.43951612903225806,1,0
1917,Wang Zhi-zhi,1999,4,2002-03,37,162,62,0.38271604938271603,1,0
1918,Obinna Ekezie,1999,1,1999-00,32,88,41,0.4659090909090909,1,0
1918,Obinna Ekezie,1999,2,2000-01,25,81,32,0.3950617283950617,1,0
1918,Obinna Ekezie,1999,3,2001-02,18,39,13,0.3333333333333333,1,0
1919,Laron Profit,1999,1,1999-00,21,59,21,0.3559322033898305,1,0
1919,Laron Profit,1999,2,2000-01,31,142,56,0.39436619718309857,1,0
1921,Gordan Giricek,1999,4,2002-03,76,803,350,0.43586550435865506,1,0
1924,Lee Nailon,1999,2,2000-01,37,136,66,0.4852941176470588,1,0
1924,Lee Nailon,1999,3,2001-02,79,764,369,0.4829842931937173,1,0
1924,Lee Nailon,1999,4,2002-03,34,190,84,0.4421052631578947,1,0
1926,Ryan Robertson,1999,1,1999-00,1,6,2,0.3333333333333333,0,1
1928,Todd MacCulloch,1999,1,1999-00,43,161,89,0.5527950310559007,1,0
1928,Todd MacCulloch,1999,2,2000-01,55,185,109,0.5891891891891892,1,0
1928,Todd MacCulloch,1999,3,2001-02,62,465,247,0.5311827956989247,1,0
1928,Todd MacCulloch,1999,4,2002-03,38,238,123,0.5168067226890757,1,0
1930,Lari Ketner,1999,1,1999-00,14,32,13,0.40625,1,0
1934,Rodney Buford,1999,1,1999-00,29,151,62,0.4105960264900662,1,0
1934,Rodney Buford,1999,2,2000-01,43,241,104,0.4315352697095436,1,0
1934,Rodney Buford,1999,3,2001-02,63,592,258,0.4358108108108108,1,0
1937,Tim Young,1999,1,1999-00,17,39,13,0.3333333333333333,1,0
1938,Manu Ginobili,1999,4,2002-03,67,396,174,0.4393939393939394,1,0
2030,Kenyon Martin,2000,1,2000-01,68,776,346,0.44587628865979384,1,0
2030,Kenyon Martin,2000,2,2001-02,73,961,445,0.4630593132154006,1,0
2030,Kenyon Martin,2000,3,2002-03,77,1080,509,0.47129629629629627,1,0
