tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24,shot_style_subtype_id,shot_style_subtype,shot_style_subtype_probability,shot_style_entropy,shot_style_prob_0,shot_style_prob_1,shot_style_prob_2,shot_style_prob_3,shot_style_prob_4
10,1884,Baron Davis,1999,3,2001-02,82,1335,559,0.4187265917602996,draft,9.73694,-18.376266,-12.609329,25.68488,19.546413,-13.141422,14.10688,-0.79195523,-3.127993,1.669307,18.225561,22.29034,4.267339,-9.981904,-15.908862,1.4972869,3.4493647,28.095066,-5.9412537,-17.69384,-16.77068,11.884584,-19.605488,-13.5179205,0,Rim Pressure Drivers,1.0,6.439636998279849e-26,1.0,1.2907412557141053e-35,3.5150636634734224e-219,2.5192396036472045e-125,2.33058233193672e-27
11,1884,Baron Davis,1999,4,2002-03,50,796,332,0.4170854271356783,draft,8.478708,-7.6273727,-11.648165,21.626482,22.83357,-20.931393,4.573833,-3.6734881,-3.7617865,5.222571,14.185856,21.569733,11.329416,-0.09461737,-0.27896786,-17.054276,-1.5372715,33.725933,-3.520558,-23.622509,-7.6460824,22.680359,-27.750153,2.3820198,1,Balanced Three-Level Scorers,1.0,2.3869740662993325e-16,8.638747211999725e-18,1.0,0.0,0.0,3.844133259529834e-130
12,1885,Lamar Odom,1999,1,1999-00,76,1022,449,0.4393346379647749,draft,14.646355,-13.6732235,-7.3760204,30.794256,24.339272,-14.8067,10.1288185,-3.9958947,-4.79345,-0.07605392,18.907467,21.039404,5.0566673,-12.355021,-19.394873,0.4376847,5.198405,32.31935,-10.639719,-15.249882,-22.402834,20.220737,-21.236948,-12.400507,0,Rim Pressure Drivers,0.9876209009392122,0.06666801603707814,0.9876209009392122,1.5239807028002118e-50,8.350843766411699e-159,1.687910835251369e-54,0.012379099060785676
13,1885,Lamar Odom,1999,2,2000-01,75,1045,481,0.4602870813397129,draft,10.147175,-13.794909,-7.569659,27.432753,16.607101,-12.138857,8.512681,-5.8084097,1.5630087,2.3745408,14.403154,18.38923,4.0446725,-10.592075,-14.2984295,-3.1326334,5.6727896,22.902287,-2.049289,-14.295927,-20.400375,17.719425,-18.039444,-11.484917,0,Rim Pressure Drivers,0.9997116469232732,0.0026387711048267044,0.9997116469232732,4.5005369968058283e-35,6.076251217704567e-20,4.0107034195543715e-14,0.00028835307668388394
14,1885,Lamar Odom,1999,3,2001-02,29,360,151,0.4194444444444444,draft,8.199199,-11.717966,-8.501823,23.73341,19.675495,-15.106716,11.798796,-1.1684471,3.047434,3.3208466,16.155804,16.716557,0.61008453,-16.373034,-9.0167675,-0.12632298,4.098608,19.449736,1.3264664,-18.77505,-14.728537,16.210386,-17.983791,-11.263632,4,Midrange Shot Creators,0.9997290122249356,0.002497907163915367,1.4206631686186778e-07,7.926254275735028e-39,0.00027084570873798093,8.283680062475968e-15,0.9997290122249356
15,1885,Lamar Odom,1999,4,2002-03,49,610,268,0.4393442622950819,draft,13.605465,-7.907298,-10.774866,33.279045,22.31549,-19.294912,19.920269,-5.010504,-10.713881,0.19831929,19.622225,26.19955,8.918941,-7.511949,-16.70597,-2.3838046,3.0106516,42.28116,-9.056807,-23.984165,-19.966751,22.938578,-24.708477,-7.162303,4,Midrange Shot Creators,0.6402487367434356,0.6532749463100493,0.35975126325656903,1.1789722479497524e-52,0.0,0.0,0.6402487367434356
16,1886,Jonathan Bender,1999,1,1999-00,22,70,23,0.3285714285714285,draft,5.7428904,-17.009726,0.0993481,22.844017,5.836775,7.1400275,3.749467,-17.140078,6.8095226,-13.260746,10.561897,-4.345766,-8.687502,-4.706637,-9.684292,-4.218574,2.194396,8.581389,7.453825,-9.76676,-12.332861,13.625277,-4.7670646,-5.7862267,4,Midrange Shot Creators,0.9999999999998295,4.732793588097739e-12,1.0368706591048928e-44,8.313672916103846e-14,1.191354671209553e-47,8.197708666118268e-14,0.9999999999998295
17,1886,Jonathan Bender,1999,2,2000-01,47,185,66,0.3567567567567568,draft,3.2266688,-5.124489,-1.5829878,11.056988,3.0235825,0.8456522,1.0575461,-7.701146,9.108587,-6.7949247,1.2099724,12.410879,-0.8439324,-5.063329,-4.7413006,-1.1214169,2.6904483,10.006628,12.606705,-7.6227236,-17.502567,0.82291245,-11.02071,0.005072832,4,Midrange Shot Creators,0.9999997075622248,4.780473114097224e-06,2.6246609801100628e-08,2.661911663254741e-07,2.872932257089789e-19,4.054436309382765e-78,0.9999997075622248
18,1886,Jonathan Bender,1999,3,2001-02,78,460,198,0.4304347826086956,draft,7.579113,-6.891908,0.3511507,12.630012,3.6977327,-2.6657932,-3.181901,-12.623831,8.747371,-5.522904,4.2650156,13.548384,-5.8110547,-1.3276818,-7.291853,-5.7425,-1.9126079,14.770081,6.8759575,-6.695221,-16.820778,5.2557573,-12.2679205,1.7625502,4,Midrange Shot Creators,0.9793085827061169,0.10257595888426228,0.020320794975621625,0.0003706223182589949,4.778608630845066e-66,1.286048638649207e-87,0.9793085827061169
19,1886,Jonathan Bender,1999,4,2002-03,44,254,112,0.4409448818897638,draft,5.0192385,-8.384543,-5.1373487,18.500977,7.3144717,-3.2896466,1.5673137,-7.3735657,9.362526,-5.120587,4.5406137,8.979142,-7.402657,-3.7597055,-6.802644,-3.1583056,-1.9997401,12.264017,2.3812432,-7.845744,-21.141493,11.627172,-7.8094406,7.8539667,4,Midrange Shot Creators,0.9999967351109766,4.451188267122525e-05,3.2644903435795125e-06,3.986822297466451e-10,5.309021831542494e-66,1.6012496808465862e-37,0.9999967351109766
20,1887,Wally Szczerbiak,1999,1,1999-00,73,669,342,0.5112107623318386,draft,5.830288,-17.38528,-8.981673,30.007349,18.24244,-14.331113,6.6092696,-10.947938,-4.4491496,0.5716604,14.351154,24.492271,-2.3308349,-5.8031173,-10.3095665,-11.174269,-2.6235485,27.978474,6.428525,-20.001797,-18.416216,16.733051,-20.207485,-6.6833973,4,Midrange Shot Creators,0.999969538739362,0.0003472291160954278,3.0461260638301837e-05,9.656876041835063e-25,7.889650028436151e-134,0.0,0.999969538739362
21,1887,Wally Szczerbiak,1999,2,2000-01,82,919,469,0.5103373231773667,draft,3.7950492,-12.72826,-12.074161,25.136719,14.800509,-9.625553,11.464585,-2.3705578,0.5863422,-4.800637,8.638522,19.017931,3.8984766,-7.7499976,-8.823893,-2.1696234,3.5135617,23.431648,1.4829953,-16.765448,-21.658506,12.951166,-19.053724,-5.924368,0,Rim Pressure Drivers,0.9997493507582732,0.002328864995667002,0.9997493507582732,1.4612810054875184e-25,8.354058766142479e-169,1.0612686271176779e-134,0.00025064924172375975
22,1887,Wally Szczerbiak,1999,3,2001-02,82,1199,609,0.5079232693911593,draft,6.4349203,-16.181068,-5.379837,22.988358,14.786956,-8.338929,7.2556973,-6.8269773,0.008148789,-5.688053,10.306345,19.122871,-2.697219,-6.214221,-9.237164,-5.9753933,0.44307494,23.411757,3.1193233,-16.520954,-17.56488,11.244982,-21.34417,-7.0154686,0,Rim Pressure Drivers,0.9965774229229735,0.022847920627333346,0.9965774229229735,9.406563372072768e-28,1.3019866666207856e-75,4.252459428382925e-93,0.0034225770770251224
23,1887,Wally Szczerbiak,1999,4,2002-03,52,729,351,0.4814814814814814,draft,4.7330604,-8.092832,-2.8634539,26.020018,15.718077,-1.8795784,3.195354,-6.958056,-0.18318236,-12.032892,4.625702,15.268421,0.21966648,-3.092432,-7.7172356,-5.5515704,-0.78055334,17.16125,-1.9656727,-7.6334887,-27.421724,5.991625,-12.655361,-1.3445992,4,Midrange Shot Creators,0.9336463788719103,0.24748730881998326,0.06576139388544192,0.0005922272426455006,2.8682710892139793e-243,4.473465461905991e-53,0.9336463788719103
24,1888,Richard Hamilton,1999,1,1999-00,70,605,254,0.4198347107438016,draft,1.1168456,-4.7408276,-6.9392195,20.543694,6.9020414,3.5631409,12.059938,0.54048824,4.29747,-12.680849,-1.4090711,8.062992,3.164826,-1.5061179,-4.270668,2.7912016,0.3919915,9.378744,-0.13819772,-7.273174,-25.009993,3.1157856,-5.217772,3.4138496,1,Balanced Three-Level Scorers,0.8982796407159997,0.32884665032841587,1.0614804179574871e-09,0.8982796407159997,0.0,3.017586820213018e-260,0.10172035822252234
25,1888,Richard Hamilton,1999,2,2000-01,78,1249,547,0.4379503602882306,draft,3.495879,-11.322643,-2.8015995,14.758324,8.906875,1.0093656,5.484397,1.3563365,11.666084,-4.2071466,0.031782687,8.272589,-1.1501641,0.060813934,-2.132081,-0.30949503,-1.0840802,2.5273848,3.093694,-8.12306,-15.259178,1.6544598,-8.628561,-0.99167204,0,Rim Pressure Drivers,0.9989887367554953,0.007989806432017924,0.9989887367554953,5.684037802259469e-07,2.436603787045488e-55,3.439880860210492e-19,0.0010106948407233357
26,1888,Richard Hamilton,1999,3,2001-02,63,1083,472,0.4358264081255771,draft,3.4033632,-17.808968,-2.798585,15.242019,7.3478518,-4.0682,4.7443266,-1.7301633,8.671047,-2.1371794,3.094988,12.587046,-2.0403082,-6.5779996,-3.3750715,-0.6831333,0.86155605,9.753162,3.591928,-6.485892,-15.877037,2.8428211,-12.230362,-5.4612665,3,Interior Finishers,0.9610368293342209,0.1780195629020305,0.004230322322119303,1.387417211334462e-13,5.001338623919574e-11,0.9610368293342209,0.034732848293506154
27,1888,Richard Hamilton,1999,4,2002-03,82,1286,570,0.4432348367029549,draft,6.4247317,-13.040411,-9.616504,23.506332,16.88504,-11.050062,8.888314,-3.1154757,3.2279582,1.9131444,12.886835,16.763962,4.4812593,-10.745821,-9.854037,-3.5127962,5.0461655,18.50012,3.075881,-17.333782,-15.719829,15.016968,-17.828041,-11.661163,0,Rim Pressure Drivers,0.9999793977174157,0.00024290293895880123,0.9999793977174157,1.7418776281733794e-29,2.2089927968200232e-14,1.683713510013979e-48,2.060228256235356e-05
28,1889,Andre Miller,1999,1,1999-00,82,754,339,0.4496021220159151,draft,13.727966,-14.647722,-4.0338917,22.951542,18.740406,-10.186081,9.843987,-5.6847353,9.495389,7.2015266,12.061673,17.724035,0.98697877,-5.715046,-13.860706,0.71956384,1.3839159,17.709675,0.1266563,-16.265074,-14.848195,15.514109,-17.037033,-10.733215,0,Rim Pressure Drivers,0.6689830870734766,0.6351839322952202,0.6689830870734766,1.4613815462413814e-20,2.7669252180766638e-05,4.1892300771497395e-23,0.3309892436743441
29,1889,Andre Miller,1999,2,2000-01,82,987,451,0.4569402228976697,draft,7.647288,-14.668042,-3.2363074,20.484867,13.632448,-6.8991685,7.703323,-1.0985683,9.961388,3.4619784,7.0368223,14.369383,-0.6514585,-6.8828173,-7.5061827,-0.32490134,1.9561087,9.851299,3.9721007,-10.853256,-16.77084,8.94358,-12.239877,-7.5998716,2,Arc-Heavy Spacers,0.9627043248564902,0.16686346037490005,0.0012229917857136648,2.1702711139048742e-13,0.9627043248564902,0.03566593049680876,0.00040675286076880446
30,1889,Andre Miller,1999,3,2001-02,81,1037,474,0.4570877531340405,draft,3.9523306,-2.3569956,-11.629936,17.20428,15.022537,-8.698459,10.136366,-0.9417849,13.773444,3.490329,1.4450787,11.589466,8.664037,6.1507463,6.2663527,-8.739939,-0.83622444,13.414139,3.1418347,-19.771675,-8.61374,14.205669,-17.960306,8.732673,1,Balanced Three-Level Scorers,1.0,2.1187322569676956e-32,7.6679477319291064e-34,1.0,0.0,0.0,1.7697321947607934e-72
31,1889,Andre Miller,1999,4,2002-03,80,921,377,0.4093376764386536,draft,8.440144,-14.587193,-7.464824,21.218515,17.177723,-11.643278,7.7170105,-1.5694087,3.7605865,3.8620985,12.441084,18.594494,5.8767695,-11.369239,-11.534309,-0.20665187,4.8164387,18.543581,1.3638914,-14.527584,-15.286673,10.9580145,-17.35345,-14.239219,0,Rim Pressure Drivers,0.9852319238526349,0.07721737208919754,0.9852319238526349,1.736802619391682e-28,0.01472280708385227,4.954956747092967e-13,4.526906301594733e-05
32,1890,Shawn Marion,1999,1,1999-00,51,471,222,0.4713375796178344,draft,15.475246,-21.109806,-9.096324,26.566408,21.45567,-20.113636,14.134106,1.433344,0.7053019,10.302126,25.49292,24.54521,8.521128,-17.920038,-20.327301,1.9002024,10.352099,30.914742,-0.85991263,-22.241335,-13.192885,20.342566,-25.235886,-23.842049,2,Arc-Heavy Spacers,0.9998831451320832,0.0012037322077452384,7.862919888034059e-06,1.3022375801533759e-92,0.9998831451320832,1.0641706736462436e-11,0.00010899193738511174
33,1890,Shawn Marion,1999,2,2000-01,79,1157,557,0.4814174589455488,draft,11.044889,-17.588112,-6.4612637,19.71386,16.488518,-13.17089,8.324893,2.7491071,5.8566723,3.6753397,17.044052,19.63824,4.6334214,-13.790634,-14.092625,-0.45983613,7.22813,20.57638,1.3705696,-18.353481,-14.003086,12.304867,-21.73072,-16.342491,2,Arc-Heavy Spacers,0.9997728872221396,0.002178344657532607,1.5647526186438085e-06,9.185323559350452e-50,0.9997728872221396,8.56611948740866e-06,0.0002169819057549279
34,1890,Shawn Marion,1999,3,2001-02,81,1393,654,0.4694903086862886,draft,5.5333576,-16.379936,-8.288212,20.29369,12.564577,-9.396421,8.766861,-6.366774,3.4055505,1.0782822,8.930521,21.459515,2.9054177,-9.310909,-9.794941,-2.634457,2.2931786,20.06422,6.57846,-15.838964,-17.050714,8.489676,-18.848728,-12.536792,0,Rim Pressure Drivers,0.8624449680575523,0.40685855501497603,0.8624449680575523,2.4214478130221958e-25,0.001089880040733134,2.9526328906549133e-52,0.13646515190171274
35,1890,Shawn Marion,1999,4,2002-03,81,1464,662,0.4521857923497268,draft,5.496834,-14.004319,-8.372205,21.915424,15.107389,-8.800885,6.667486,-2.5281382,3.5847878,-0.535433,8.6820755,18.489014,3.9623485,-10.090649,-9.149326,0.8692113,3.7184176,17.873741,2.4710407,-11.609301,-19.599236,7.680507,-15.999796,-9.486773,0,Rim Pressure Drivers,0.9999989499593027,1.5505616146654325e-05,0.9999989499593027,2.62606549835924e-25,8.179686991308122e-18,7.376214021350384e-21,1.0500406986076177e-06
36,1891,Jason Terry,1999,1,1999-00,79,598,248,0.4147157190635451,draft,5.4014225,-16.687578,-6.409816,17.789867,12.374924,-6.8196645,2.511259,-2.363357,9.87451,0.327511,7.1735806,10.748728,0.54095817,-9.18028,-5.813539,-1.6429853,2.2060351,9.200951,0.0055606365,-8.716142,-15.10894,8.670192,-12.434636,-7.3191195,2,Arc-Heavy Spacers,0.979833662571661,0.11637572425275663,0.0011976197268260414,3.95910309893704e-16,0.979833662571661,0.009590127675547528,0.009378590025966435
37,1891,Jason Terry,1999,2,2000-01,82,1367,596,0.4359912216532553,draft,-1.6939251,-5.241986,-13.2859125,15.259544,7.5538764,-7.2854996,10.9579315,-3.4325013,-0.56411123,-2.876535,6.4367914,19.797686,9.660382,8.361616,8.110529,-14.813346,-3.7229052,21.783302,-0.21710753,-16.496656,-11.486298,0.67222655,-17.450094,7.166111,1,Balanced Three-Level Scorers,1.0,5.119424789795426e-30,1.8527816139390569e-31,1.0,0.0,0.0,4.4234829776146223e-101
38,1891,Jason Terry,1999,3,2001-02,77,1219,524,0.4298605414273995,draft,6.807418,-14.462946,-5.061931,20.848774,13.594393,-4.715731,7.6253824,-3.0021794,3.169271,-4.368331,7.617964,15.699066,1.8961694,-5.6082344,-8.999318,-2.269156,1.1064817,16.192768,-1.5598111,-11.608685,-18.414385,5.183379,-15.389624,-7.7136607,0,Rim Pressure Drivers,0.9999973957163012,3.6091079137515284e-05,0.9999973957163012,1.54189882735312e-15,1.1030455699452286e-90,3.3555264679770617e-28,2.604283695138219e-06
39,1891,Jason Terry,1999,4,2002-03,81,1140,488,0.4280701754385965,draft,-0.5717399,-5.338878,-10.74175,18.120241,10.256762,-9.42945,8.370764,-4.7027836,6.071239,0.3680411,2.3693342,18.246609,7.681302,-1.645138,4.634736,-8.578317,1.0208644,15.553848,4.6853952,-13.794062,-16.043613,5.838918,-17.404057,1.5332587,0,Rim Pressure Drivers,0.9998550801480982,0.0014259037035911862,0.9998550801480982,0.00014491985190589882,0.0,0.0,4.612953505107102e-17
40,1892,Trajan Langdon,1999,1,1999-00,6,40,15,0.375,draft,6.062168,-21.708416,3.431615,17.861473,13.684216,0.43642616,4.894606,-18.535677,6.45837,-9.065605,-1.408266,9.29089,-11.172064,-3.0994105,-2.1895227,-6.9583807,-9.213767,10.779021,-1.0865748,-6.6400175,-13.383158,7.0549703,-15.273603,-6.498316,4,Midrange Shot Creators,1.0,1.823185804782948e-15,5.2919281650213286e-45,6.598329454179781e-17,1.3363624411798632e-82,6.557318546737775e-88,1.0
41,1892,Trajan Langdon,1999,2,2000-01,60,313,135,0.4313099041533546,draft,5.8439646,-14.897082,1.6528559,16.058115,9.8365,2.314516,9.290655,-8.293886,8.950714,-4.994007,-0.16279843,11.122164,-3.2424226,0.6572546,-2.501639,-3.1327477,-4.856596,7.2176743,-1.8767116,-6.849789,-16.86884,0.12384075,-11.601261,-5.596697,4,Midrange Shot Creators,0.9975818468985133,0.017014041673703763,0.002414085967239555,4.067134250576621e-06,7.946158442891333e-105,2.7158150717421226e-26,0.9975818468985133
42,1892,Trajan Langdon,1999,3,2001-02,40,175,70,0.4,draft,6.202487,-14.112819,0.9775643,15.23267,9.509406,-0.39013886,2.3161693,-4.724627,9.937792,-3.263825,1.8777688,12.236275,-1.2366376,0.5432188,-4.118612,-0.7736572,-2.4228902,7.4159474,1.0705097,-4.480687,-16.497646,-1.7726928,-9.903568,-5.370509,0,Rim Pressure Drivers,0.5475129018509246,0.6886255343721059,0.5475129018509246,6.5669515159423334e-09,1.0540671926662268e-41,1.8989516624424844e-16,0.45248709158212397
43,1894,Corey Maggette,1999,1,1999-00,77,468,224,0.4786324786324786,draft,19.272057,-20.232199,-8.244574,27.300821,25.294073,-22.345566,14.559362,3.1887088,0.89447093,10.755432,27.816517,26.437538,8.000944,-15.792713,-24.011116,5.7016172,9.796452,35.465576,-2.2540064,-26.150066,-10.564299,22.317516,-28.977139,-24.072243,2,Arc-Heavy Spacers,0.9999893023610441,0.00013313892980244604,5.644061304937121e-17,7.109256407299697e-122,0.9999893023610441,1.3476220633317732e-10,1.0697504191110441e-05
44,1894,Corey Maggette,1999,2,2000-01,68,487,225,0.4620123203285421,draft,14.86713,-17.696053,-13.604008,34.877747,26.96091,-17.726126,14.390169,1.6447222,-2.258129,3.8433716,22.049164,19.706284,9.215877,-16.481968,-22.198254,5.139078,10.941032,33.24588,-7.0544505,-20.424782,-19.47987,25.675856,-22.98371,-14.322106,4,Midrange Shot Creators,0.9983737868938357,0.012067619541091739,0.0016262131061623027,4.40051332951278e-75,4.3653368605552453e-63,2.4681133299553617e-63,0.9983737868938357
45,1894,Corey Maggette,1999,3,2001-02,62,530,235,0.4433962264150943,draft,11.792959,-19.540869,-7.199816,31.64001,22.90854,-15.306795,10.718315,-11.766527,-5.1298556,0.91320705,18.25771,22.170948,1.2464558,-9.180596,-14.605633,-8.159472,2.2603168,32.445526,-5.298309,-19.71286,-16.875254,20.794617,-25.192818,-13.69628,4,Midrange Shot Creators,0.9719204625487757,0.12800172601927168,0.028079537451222304,1.478015600482266e-47,1.1319393070638096e-109,1.9909593277939815e-166,0.9719204625487757
46,1894,Corey Maggette,1999,4,2002-03,64,772,343,0.444300518134715,draft,11.262344,-10.131724,-10.638614,31.29218,24.08972,-16.835238,6.0871153,-9.634378,-2.7790773,1.7449992,15.761631,25.289326,7.18112,-15.114109,-16.808104,-0.58249974,6.194813,32.252728,-2.6204643,-14.916544,-24.99319,17.734884,-21.345766,-10.38865,0,Rim Pressure Drivers,0.566747504517691,0.6842100659398536,0.566747504517691,8.357873613043114e-43,2.0386904351903172e-37,1.0815143552305735e-81,0.43325249548230815
47,1895,William Avery,1999,1,1999-00,49,180,56,0.3111111111111111,draft,7.015218,-10.909628,-1.2408861,17.704342,11.88963,-7.707608,10.261414,-3.809611,-1.3441195,-4.785325,5.58501,13.613106,-0.31288958,-10.969504,-6.916832,2.1422157,1.1025157,16.875963,-0.17327964,-9.4938755,-14.550936,5.1672707,-13.732856,-6.4709125,4,Midrange Shot Creators,0.9999813230257856,0.00022203600940489215,1.86769594733888e-05,1.4741423504966496e-11,2.3440974374596867e-35,2.243073695349332e-18,0.9999813230257856
48,1895,William Avery,1999,2,2000-01,44,142,55,0.3873239436619718,draft,1.2967178,-15.367545,-12.836288,25.565945,17.932829,-20.045277,13.0577755,-4.890437,-6.855964,6.321659,12.750139,27.317722,7.511219,-2.7172112,1.2726989,-16.668629,-1.5352123,30.93023,5.121091,-26.634176,-8.174285,17.085726,-27.699112,-3.576148,0,Rim Pressure Drivers,0.9999999932956172,1.3288426045814477e-07,0.9999999932956172,6.704383464000918e-09,0.0,0.0,3.5096870391744824e-20
49,1895,William Avery,1999,3,2001-02,23,89,26,0.2921348314606741,draft,10.02297,-14.237083,-1.1695571,20.340336,15.093138,-12.29324,5.521508,-2.6246524,0.8553474,1.3072985,14.5750885,15.479523,-3.8481982,-11.36265,-9.625958,-3.0381281,-0.027750015,20.221117,-0.021623135,-12.601286,-12.34372,11.066118,-14.923609,-3.9981015,4,Midrange Shot Creators,0.999999999997371,7.271697956246735e-11,2.6284972146865324e-12,4.393195113302212e-18,7.966403297837026e-62,8.097403730208932e-36,0.999999999997371
