PLAYER_ID,PLAYER_NAME,player_name_key,draft_year,INPUT_SEASON,FORECAST_SEASON,predicted_class,actual_class,label_known,is_correct,sleeper_probability,neutral_probability,bust_probability,confidence_rating,confidence_score,uncertainty_proxy,holdout_split_tag,actual_years5_7_perf_score_component_mean,predicted_years5_7_perf_score_component_mean,performance_pred_error_component_mean,actual_scoring_metric_score,actual_efficiency_metric_score,actual_playmaking_metric_score,actual_defense_metric_score,actual_control_metric_score,predicted_scoring_metric_score,predicted_efficiency_metric_score,predicted_playmaking_metric_score,predicted_defense_metric_score,predicted_control_metric_score,actual_years5_7_games_avg,actual_years5_7_minutes_avg,actual_years5_7_points_avg,actual_years5_7_rebounds_avg,actual_years5_7_assists_avg,boxscore_target_support_flag,performance_test_prediction_available,identity_source,classification_support_flag,forecast_support_flag,block1_ready_flag,deliverable3_block1_note
,Allan Houston,allan houston,,,,Sleeper,,0,,0.9901496,0.009339718,0.0005106781,High,0.9901496,0.009850400000000037,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
203459.0,Allen Crabbe,allen crabbe,2013,2013-2017,2017-2020,Bust,Sleeper,1,0.0,0.031928703,0.063542806,0.9045285,High,0.9045285,0.09547150000000004,Train,29.527166441787625,,,35.8616782884529,40.04269714329204,23.40328073188052,30.965677557686234,17.362498487626425,,,,,,51.666666666666664,1327.766111,525.0,183.0,65.33333333333333,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Allen Iverson,allen iverson,,,,Sleeper,Sleeper,1,1.0,0.9985606,0.0013487813,9.053848e-05,High,0.9985606,0.0014393999999999796,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Alonzo Gee,alonzo gee,,,,Bust,,0,,0.0028641575,0.12156985,0.87556595,High,0.87556595,0.12443404999999996,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Alonzo Mourning,alonzo mourning,,,,Sleeper,,0,,0.4574518,0.18270278,0.3598455,Low,0.4574518,0.5425481999999999,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Alperen Sengun,alperen sengun,,,,Sleeper,,0,,0.97857153,0.020837627,0.0005908535,High,0.97857153,0.021428470000000033,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
101107.0,Alvin Williams,marvin williams,2004,2005-2009,2009-2012,Neutral,,0,,0.28563738,0.5869637,0.12739892,Medium,0.5869637,0.4130363,Train,35.09852398570062,,,29.677506896715627,43.56017568520487,23.283961421894297,48.94342850637377,30.027547418314548,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,fuzzy_name_fallback:marvin williams,prediction_only,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
2405.0,Amar'e Stoudemire,amar e stoudemire,2001,2002-2006,2006-2009,Sleeper,Sleeper,1,1.0,0.99210346,0.0075559653,0.00034047547,High,0.99210346,0.007896539999999952,Train,56.32085066326609,,,76.37051381809388,88.4710273494866,1.7999132355119067,59.87696283322804,55.08583608001004,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Amir Coffey,amir coffey,,,,Bust,,0,,0.0034409089,0.05863798,0.9379211,High,0.9379211,0.06207890000000005,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
101161.0,Amir Johnson,amir johnson,2004,2005-2009,2009-2012,Bust,Neutral,1,0.0,0.0009914101,0.49613073,0.50287783,Low,0.50287783,0.49712217000000003,Train,42.40808644705912,,,27.19225100609815,76.90899734164113,15.519443128748163,34.67602740976845,57.74371334903974,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
