feature_name,coefficient,abs_coefficient,selected_model
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Interior Finishers,0.0005667010580607918,0.0005667010580607918,ridge_alpha_10
num__shot_emb_23,0.0004742088079810961,0.0004742088079810961,ridge_alpha_10
num__pca_24,0.00044835340106338646,0.00044835340106338646,ridge_alpha_10
num__shot_style_prob_1,-0.00042140988187788645,0.00042140988187788645,ridge_alpha_10
cat__macro_cluster_id_3,-0.00041935583623888424,0.00041935583623888424,ridge_alpha_10
cat__hybrid_archetype_label_Low-Usage Interior Bigs | Arc-Heavy Spacers,0.0003998174902072286,0.0003998174902072286,ridge_alpha_10
num__shot_emb_24,-0.00030968310796164396,0.00030968310796164396,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Arc-Heavy Spacers,-0.0002541089063783163,0.0002541089063783163,ridge_alpha_10
num__pca_20,0.00021008125838237388,0.00021008125838237388,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Rim Pressure Drivers,-0.00017579381246691193,0.00017579381246691193,ridge_alpha_10
