feature_name,coefficient,abs_coefficient,selected_model
cat__shot_style_subtype_id_4.0,-0.0011235908701363536,0.0011235908701363536,ridge_alpha_10
num__shot_emb_1,0.0010619061503404348,0.0010619061503404348,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | No Shot Subtype,-0.001053651497412578,0.001053651497412578,ridge_alpha_10
cat__cluster_archetype_k5_Low-Usage Interior Bigs,-0.000926825424358472,0.000926825424358472,ridge_alpha_10
cat__macro_cluster_id_1,-0.0009268254243584267,0.0009268254243584267,ridge_alpha_10
num__prototype_margin_second_minus_first,-0.0009204956300749048,0.0009204956300749048,ridge_alpha_10
num__shot_emb_20,-0.0009031068074430105,0.0009031068074430105,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Midrange Shot Creators,-0.0009010370519720121,0.0009010370519720121,ridge_alpha_10
cat__cluster_archetype_k5_High-Usage Primary Creators,0.0008690740744595228,0.0008690740744595228,ridge_alpha_10
num__shot_emb_9,-0.0007973936950968915,0.0007973936950968915,ridge_alpha_10
num__pca_18,-0.000794734692604401,0.000794734692604401,ridge_alpha_10
cat__cluster_archetype_k5_Scoring Bigs / Two-Way Forwards,-0.0007414830431465585,0.0007414830431465585,ridge_alpha_10
cat__macro_cluster_id_4,-0.0007414830431464195,0.0007414830431464195,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Midrange Shot Creators,-0.0006981656438383464,0.0006981656438383464,ridge_alpha_10
cat__shot_style_subtype_id_2.0,-0.0006795560735610768,0.0006795560735610768,ridge_alpha_10
cat__shot_style_subtype_Interior Finishers,0.0006718615278102822,0.0006718615278102822,ridge_alpha_10
cat__shot_style_subtype_id_3.0,0.0006718615278102143,0.0006718615278102143,ridge_alpha_10
num__observed_shot_seasons,-0.0006087081285550665,0.0006087081285550665,ridge_alpha_10
num__seasons_with_embeddings,-0.000608708128554953,0.000608708128554953,ridge_alpha_10
