row_id,weighted_mse_total,attempt_mse,attempt_mass_in,attempt_mass_recon,attempt_corr,made_mse,made_mass_in,made_mass_recon,made_corr,rate_mse,rate_mass_in,rate_mass_recon,rate_corr
2987,0.00511095579713583,4.0885151975089684e-05,1.0000001192092896,1.0000001192092896,0.20123392164376636,2.0166933609289117e-05,0.4603174924850464,0.42486223578453064,0.2208845289526891,0.015149709768593311,196.973876953125,184.47657775878906,0.8709389857510943
1395,0.005123017821460962,0.0003058400470763445,1.0,1.0,0.14834586018937831,0.00013494434824679047,0.4897959232330322,0.47653713822364807,0.11417506135646814,0.014046699739992619,133.65045166015625,134.56591796875,0.9321023226864489
2362,0.0051304735243320465,1.2897517081000842e-05,1.0,1.0,0.3356739411886083,4.2882438719971105e-06,0.4240727722644806,0.44092246890068054,0.3008015471860464,0.01533986534923315,188.50917053222656,188.5043182373047,0.8084783974023889
2065,0.005141037981957197,5.1391893066465855e-05,1.0,1.0,0.28290756941501133,1.2903481547255069e-05,0.30232560634613037,0.3911591172218323,0.2902015062065144,0.015230226330459118,95.49629974365234,90.90291595458984,0.8340799088555816
1920,0.005150606390088797,9.415973909199238e-05,0.9999999403953552,0.9999998807907104,0.18390277378073308,5.367585981730372e-05,0.5421348214149475,0.42912155389785767,0.2412128096653626,0.015008312650024891,196.6251678466797,189.49334716796875,0.8725875121318165
509,0.0051590451039373875,0.000769972160924226,1.0,1.0,0.13601316597343546,0.0002437303337501362,0.44927534461021423,0.4691161513328552,0.09493435053220765,0.012436027638614178,117.04020690917969,112.41645812988281,0.9512932443536984
1697,0.005164354108273983,0.0001564156700624153,1.0000001192092896,1.0000001192092896,0.19875589419637682,8.617327694082633e-05,0.6136363744735718,0.5685995221138,0.18288497094935816,0.014765295200049877,176.89430236816406,176.20848083496094,0.9451247900429706
2249,0.005179131869226694,0.00017840912914834917,1.0,1.0,0.10757687564757933,0.00012401121784932911,0.5957943797111511,0.4542491137981415,0.14471784062632742,0.014630134217441082,208.34521484375,195.55543518066406,0.9023962997545971
2937,0.005180807784199715,2.2463358618551865e-05,1.0,1.0,0.24182784103170302,7.149154043872841e-06,0.40441179275512695,0.42559850215911865,0.2253236378589282,0.015453585423529148,206.29901123046875,199.09095764160156,0.8619612239841811
2134,0.005188212729990482,7.018631731625646e-05,1.0,0.9999998807907104,0.10401978449140752,1.7775348169379868e-05,0.26923078298568726,0.4444337487220764,0.1142338789127626,0.015300753526389599,105.84986877441406,97.66525268554688,0.9264617299832566
1536,0.005208830814808607,0.0005931781488470733,0.9999999403953552,0.9999999403953552,0.1426853242433976,0.00016819957818370312,0.4625850319862366,0.46013298630714417,0.15956597240259013,0.01334235817193985,139.13311767578125,132.72796630859375,0.9200794739270824
414,0.005214845761656761,0.00010812874825205654,1.0,1.000000238418579,0.19434828117424052,4.542862006928772e-05,0.49204665422439575,0.4233114719390869,0.22280134362860993,0.01518386509269476,168.22952270507812,162.1726531982422,0.8541384926446479
2031,0.0052364482544362545,2.039332866843324e-05,0.9999999403953552,0.9999999403953552,0.22186926061520534,6.477949682448525e-06,0.4157302975654602,0.44976067543029785,0.2325213530033617,0.01562873274087906,188.7396240234375,183.81903076171875,0.866687662909855
3033,0.0052418517880141735,4.871105556958355e-05,1.0,1.0,0.22803163189853906,1.964309558388777e-05,0.4554294943809509,0.45065897703170776,0.2410707550646656,0.015520492568612099,206.3955078125,200.81576538085938,0.851701702351819
427,0.005302188917994499,0.00037798937410116196,1.0,1.0000001192092896,0.1754173350857057,0.00016416631115134805,0.5206422209739685,0.4303515553474426,0.19076168210471853,0.014280099421739578,152.88528442382812,148.3515167236328,0.918717506282592
2618,0.005302913021296263,0.00019774108659476042,1.0,1.0000001192092896,0.1678304602686643,0.00011783817171817645,0.5782688856124878,0.4421730041503906,0.19659589282818118,0.014962000772356987,160.99684143066406,158.16270446777344,0.8967737745521176
2375,0.005312327761203051,4.5509979827329516e-05,0.9999999403953552,1.0,0.14610166876206554,2.0330884581198916e-05,0.4927006959915161,0.4811772108078003,0.17670930139372226,0.015739459544420242,251.5457763671875,239.30712890625,0.8805951916971636
2883,0.005316749215126038,4.116550553590059e-05,1.0,1.0,0.24959507365967282,1.4898621884640306e-05,0.4408758878707886,0.41861265897750854,0.27352882196086714,0.015782056376338005,183.19276428222656,184.86749267578125,0.7787230678855157
2376,0.005336401518434286,3.185941022820771e-05,1.0,0.9999998807907104,0.23592887647995972,1.3916730495111551e-05,0.4198783040046692,0.42777878046035767,0.237755869357412,0.01587187498807907,207.13540649414062,196.69253540039062,0.8817260164884229
1627,0.005349383689463139,2.0267530999262817e-05,1.0000001192092896,0.9999998807907104,0.1413317372357382,4.491648724069819e-06,0.36752140522003174,0.4153701066970825,0.12031072989146412,0.01597387157380581,177.42730712890625,164.19522094726562,0.8563726889279795
1046,0.005369996186345816,0.0010536977788433433,0.9999999403953552,0.9999999403953552,0.15490099128724522,0.0003974375140387565,0.5789473056793213,0.3930555582046509,0.17154900356191047,0.01175658218562603,84.45479583740234,83.78597259521484,0.9032067335412081
