PLAYER_ID,PLAYER_NAME,season_num,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct,split,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
1890,Shawn Marion,2,2000-01,1999,79,1157,557,0.4814174589455488,train,5.2171993,7.9680214,-7.3955297,10.722155,6.6048546,0.54192066,8.743963,-10.894943,4.71397,-0.45659646,-16.532333,-1.0888065,2.2289536,-13.209358,1.4888691,-4.648983,-7.66126,8.112146,4.4063864,-2.7172801,-7.4552794,11.898043,-4.481219,8.490869
1890,Shawn Marion,3,2001-02,1999,81,1393,654,0.4694903086862886,train,9.0592985,9.825821,-10.918941,11.956002,2.2176778,4.89303,12.984536,-9.3528385,3.7273495,0.5179187,-9.851809,2.9510486,5.965627,-15.216617,-2.1797783,-5.6619754,-4.9606047,13.504256,2.4834313,-0.68604696,-4.565909,9.087835,1.5826281,1.7853453
1890,Shawn Marion,4,2002-03,1999,81,1464,662,0.4521857923497268,train,9.745292,7.9253464,-6.119259,10.12714,3.6142554,2.8322592,8.105547,-6.88461,6.8830714,1.1903163,-11.760391,4.053914,7.252899,-10.921181,-0.27004117,-6.4760146,-8.005855,7.789184,2.4212906,-2.7468297,0.2533133,9.180105,-3.7468674,-0.34431267
1891,Jason Terry,1,1999-00,1999,79,598,248,0.4147157190635451,train,5.803139,6.2523994,-9.129268,10.618069,6.8869934,0.84612274,6.6032133,-7.3832517,6.2900677,-1.3692263,-9.890125,0.15891957,7.497734,-13.595325,0.17295253,-5.3086514,-4.6822405,6.4930334,3.642713,-4.3355474,-0.18789458,15.834984,-4.5147924,4.5294695
1891,Jason Terry,2,2000-01,1999,82,1367,596,0.4359912216532553,train,-3.2884495,1.6023895,-2.9851284,6.3034763,0.9267602,10.933474,-6.668733,-2.269833,3.303108,8.954542,-6.5760107,1.1750579,10.381443,-9.811422,3.3346338,-6.2233295,2.4595761,7.9834743,-5.2854095,10.060159,2.4837642,-4.13717,-1.1075872,-6.6893907
1891,Jason Terry,3,2001-02,1999,77,1219,524,0.4298605414273995,train,7.037341,9.674725,-5.2405286,12.471373,4.7682624,-0.035097122,5.6853237,-7.615347,9.502152,1.2137414,-8.756743,0.7324727,9.902445,-9.612127,-1.4212344,-4.4286757,-5.9294267,4.4425316,0.1381774,-2.150412,-1.9713163,7.012637,-1.0573355,-2.6721215
1891,Jason Terry,4,2002-03,1999,81,1140,488,0.4280701754385965,train,3.2277567,1.5189734,-8.46353,7.7847023,-1.0891749,14.171934,2.6736019,-4.789798,2.9563942,3.4018114,-11.666805,2.757342,7.0818334,-14.594566,-0.4208547,-8.978474,0.27491665,7.4777718,0.84963953,3.970681,4.271784,3.6323545,-1.1796869,-3.1520605
1892,Trajan Langdon,1,1999-00,1999,6,40,15,0.375,validation,12.616348,12.432978,-7.285615,13.3907175,10.150969,1.3832293,5.8505106,-4.810678,4.182414,-6.718934,6.956843,-2.3926795,19.472572,-27.836552,-8.655779,-8.830344,-6.3260727,5.649108,7.5642962,-0.8743924,-0.08667827,19.152763,11.438224,-0.0707407
1892,Trajan Langdon,2,2000-01,1999,60,313,135,0.4313099041533546,validation,10.260082,9.188718,-3.8685784,16.884214,7.368463,1.6717306,5.7019243,-3.7115333,10.131901,0.7084683,-7.4125214,-1.7238133,11.642414,-14.867331,-3.3626518,-5.7854834,-3.974938,10.390152,3.5472941,1.6480315,0.32496357,8.723026,1.9410821,-0.74632645
1892,Trajan Langdon,3,2001-02,1999,40,175,70,0.4,validation,8.137617,12.018999,-7.267189,15.258437,7.036547,2.077046,9.431056,-4.7068768,8.153914,1.2977185,-8.447255,1.2619922,13.628088,-12.660499,-0.99784416,-3.9545918,-5.554179,2.021338,4.516279,-2.018343,0.20142615,8.879317,1.3457178,1.2904656
1894,Corey Maggette,1,1999-00,1999,77,468,224,0.4786324786324786,train,6.935611,10.285252,-9.331105,12.963378,7.7876315,-0.29217744,4.832766,-12.753223,2.5674043,-2.2776144,-16.415844,1.8489935,-1.2252918,-11.416866,-1.0361936,-5.313606,-8.057569,6.88783,6.976387,0.4046121,-8.677377,11.953617,0.03921461,12.627851
1894,Corey Maggette,2,2000-01,1999,68,487,225,0.4620123203285421,train,11.046982,10.122719,-6.27055,6.9467454,5.941333,-6.52665,0.753412,-13.500996,9.8334055,1.8740261,-11.011299,3.5723567,6.5954647,-7.548915,-7.122466,-5.1264,-7.758405,4.260931,6.320306,-5.2745485,-2.3014183,13.585596,-6.910764,-2.3667526
1894,Corey Maggette,3,2001-02,1999,62,530,235,0.4433962264150943,train,14.498787,3.918006,-7.7115088,14.721112,3.3315823,3.3161554,4.332555,-5.509698,7.382346,-1.0532827,-0.42736873,0.9932631,11.939646,-19.506598,-4.784299,-9.65806,-2.2323062,-0.37475872,0.59252095,3.0119085,-1.4763767,7.9695005,4.587159,-3.008863
