PLAYER_ID,PLAYER_NAME,TSNE1,TSNE2,TSNE3,tsne_cluster,tsne_label,expected_score,realized_score,delta_score
2365,Chris Andersen,-4.074239,-4.0355544,2.9218488,2,Neutral,278.125,407.6000000000001,129.47500000000008
2397,Yao Ming,6.305818,-1.5415447,-4.1487985,0,Sleeper,1023.7750000000001,1005.7000000000002,-18.074999999999932
2399,Mike Dunleavy,5.224518,-0.57348996,-0.3027871,0,Sleeper,609.95,792.1666666666666,182.21666666666658
2400,Drew Gooden,2.843492,-3.3456433,-4.178535,0,Sleeper,729.0999999999999,586.9,-142.19999999999993
2403,Nene,6.49898,-3.8867383,-1.3296362,0,Sleeper,623.3,1021.2666666666668,397.9666666666668
2404,Chris Wilcox,1.41563,-4.5874696,1.5789359,2,Neutral,324.7,586.2333333333333,261.53333333333336
2405,Amar'e Stoudemire,8.860777,-1.4219153,-3.6101172,0,Sleeper,1131.9750000000001,1294.9999999999998,163.02499999999964
2406,Caron Butler,6.7853317,-1.0238103,-1.1134723,0,Sleeper,756.675,974.8666666666668,218.19166666666683
2407,Jared Jeffries,-5.818298,-0.016423196,1.714248,2,Neutral,352.34999999999997,273.1666666666667,-79.18333333333328
2408,Melvin Ely,-11.84575,2.9821372,-4.1425242,1,Bust,255.92499999999995,65.86666666666666,-190.05833333333328
2410,Fred Jones,8.670893,-1.7846614,2.7059717,0,Sleeper,335.55000000000007,996.0,660.4499999999999
2413,Juan Dixon,-8.680001,0.07746878,-0.2467749,1,Bust,351.25,260.93333333333334,-90.31666666666666
2419,Tayshaun Prince,6.4932947,-0.9753384,-0.33742046,0,Sleeper,646.2,900.6999999999999,254.4999999999999
2420,Nenad Krstic,-3.929229,-0.9424032,2.051827,2,Neutral,425.875,410.90000000000003,-14.974999999999966
2422,John Salmons,5.5453377,-1.6005826,3.1834896,0,Sleeper,267.125,777.8666666666668,510.7416666666668
2427,Roger Mason Jr.,-10.1457405,1.6275483,-2.2608433,1,Bust,302.99999999999994,180.26666666666668,-122.73333333333326
2429,Dan Gadzuric,-8.45753,3.0966687,-3.4945886,1,Bust,368.0,179.96666666666667,-188.03333333333333
2430,Carlos Boozer,7.027919,-3.76551,-2.1157808,0,Sleeper,721.825,1018.8333333333331,297.0083333333331
2436,Flip Murray,-2.5947225,-0.3455965,-1.193091,2,Neutral,401.125,433.4333333333334,32.308333333333394
2440,Matt Barnes,1.0150948,-3.6338468,2.890663,2,Neutral,245.67499999999998,520.7333333333333,275.0583333333334
2443,Darius Songaila,-4.256222,-1.6578355,0.10096133,2,Neutral,339.95000000000005,378.4333333333334,38.48333333333335
2446,Rasual Butler,-3.8445284,-3.8971605,-0.62798476,2,Neutral,272.25,414.06666666666666,141.81666666666666
2449,Luis Scola,3.2898479,-1.9216,-4.5609202,0,Sleeper,869.0749999999999,606.9666666666667,-262.10833333333323
2457,Jannero Pargo,-7.5381026,-4.778918,-0.22733974,2,Neutral,102.625,337.93333333333334,235.30833333333334
2484,Devin Brown,-7.972823,-0.45014793,-0.3127691,1,Bust,336.34999999999997,276.2999999999999,-60.05000000000007
2501,Reggie Evans,-3.5015953,-1.242142,4.0251184,2,Neutral,321.85,318.9666666666667,-2.8833333333333258
2544,LeBron James,11.065488,0.6178294,-2.4200523,0,Sleeper,1591.4,1907.1333333333332,315.7333333333331
2545,Darko Milicic,-5.568969,-3.4431694,2.6345546,2,Neutral,189.725,277.96666666666664,88.24166666666665
