PLAYER_ID,PLAYER_NAME,resid_realized_score_z,resid_TS_PCT_score,resid_VPS_score,resid_GmSc_Per48_score,label_realized_score_z,label_TS_PCT_score,label_VPS_score,label_GmSc_Per48_score,final_label,final_label_num,label_realized_score_z_num,label_TS_PCT_score_num,label_VPS_score_num,label_GmSc_Per48_score_num
1909,Scott Padgett,-0.25354254422863143,-0.02762860854806032,-0.15686814461548604,-2.8542829191618484,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1913,Michael Ruffin,0.07240792529661944,-0.044323908444711235,-0.04747298009334244,-0.6136760915470472,Neutral,Bust,Bust,Bust,Bust,2,1,2,2,2
1916,Calvin Booth,-0.2716170213819661,-0.025037164332809947,-0.10493830163755602,-2.526394767703172,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1917,Wang Zhi-zhi,-0.5917412764427459,-0.000672667215789069,-0.03318532608093694,2.2827661966281134,Bust,Bust,Bust,Neutral,Bust,2,2,2,2,1
1921,Gordan Giricek,-0.5346826708961839,0.006110668364689542,-0.07186453489295408,-1.2849404124207098,Bust,Neutral,Bust,Bust,Bust,2,2,1,2,2
1922,Francisco Elson,-0.8015927642801505,-0.09858296142596407,-0.15556223430444516,-3.8540098081303213,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1924,Lee Nailon,0.16806451402711797,-0.006694421222971814,-0.09558530340379634,0.60284087701279,Neutral,Bust,Bust,Neutral,Neutral,1,1,2,2,1
1934,Rodney Buford,0.6955957577432526,-0.07427753879918192,-0.19347879746105734,-2.3655470680573885,Sleeper,Bust,Bust,Bust,Bust,2,0,2,2,2
1938,Manu Ginobili,0.0027755950925010264,0.04232966392344717,0.059020740660609805,1.6677415655423893,Neutral,Sleeper,Neutral,Neutral,Neutral,1,1,0,1,1
2030,Kenyon Martin,-1.068917404684264,-0.044463100448485005,-0.17759538931270513,-5.3212110734945774,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
2031,Stromile Swift,-0.5554219623988754,-0.021399813051846683,-0.2624314365210392,-2.6190514826610283,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
2032,Darius Miles,-0.6461752101247573,-0.021559968197091828,-0.11173834074467148,1.619015145632961,Bust,Bust,Bust,Neutral,Bust,2,2,2,2,1
2033,Marcus Fizer,-0.8720065258613058,0.004695242747779105,-0.12910602686411266,-1.8625032128586927,Bust,Neutral,Bust,Bust,Bust,2,2,1,2,2
